timestamp,open,high,low,close,volume,code,amount
2004-06-16,4.375,4.625,4.075,4.15,4.39775e+08,00700.HK,1.82506625e+09
2004-06-17,4.15,4.375,4.125,4.225,8.38015e+07,00700.HK,3.540613375e+08
2004-06-18,4.2,4.25,3.95,4.025,3.6598e+07,00700.HK,1.4730695e+08
2004-06-21,4.125,4.125,3.95,4,2.2817e+07,00700.HK,9.1268e+07
2004-06-23,4.05,4.45,4.025,4.425,5.5016e+07,00700.HK,2.434458e+08
2004-06-24,4.475,4.525,4.325,4.475,3.4723e+07,00700.HK,1.55385425e+08
2004-06-25,4.475,4.55,4.35,4.4,2.12125e+07,00700.HK,9.3335e+07
2004-06-28,4.375,4.4,4.25,4.3,1.4746e+07,00700.HK,6.34078e+07
2004-06-29,4.3,4.425,4.3,4.325,1.50815e+07,00700.HK,6.52274875e+07
2004-06-30,4.35,4.425,4.3,4.3,1.2217e+07,00700.HK,5.25331e+07
2004-07-02,4.25,4.375,4.175,4.35,1.3026e+07,00700.HK,5.66631e+07
2004-07-05,4.325,4.4,4.325,4.375,1.4264e+07,00700.HK,6.2405e+07
2004-07-06,4.375,4.45,4.35,4.4,1.5429e+07,00700.HK,6.78876e+07
2004-07-07,4.35,4.375,4.25,4.275,1.3135e+07,00700.HK,5.6152125e+07
2004-07-08,4.25,4.25,4.075,4.1,2.1149e+07,00700.HK,8.67109e+07
2004-07-09,4.075,4.125,4.025,4.075,9.376e+06,00700.HK,3.82072e+07
2004-07-12,4.075,4.125,3.975,3.975,1.197e+07,00700.HK,4.758075e+07
2004-07-13,4,4.05,3.975,4.025,1.0934e+07,00700.HK,4.400935e+07
2004-07-14,4.025,4.025,3.75,3.775,1.9638e+07,00700.HK,7.413345e+07
2004-07-15,3.825,3.825,3.55,3.675,1.1319e+07,00700.HK,4.1597325e+07
2004-07-16,3.65,3.75,3.625,3.7,4.1265e+06,00700.HK,1.526805e+07
2004-07-19,3.7,3.775,3.6,3.775,5.321e+06,00700.HK,2.0086775e+07
2004-07-20,3.725,3.775,3.7,3.75,3.436e+06,00700.HK,1.2885e+07
2004-07-21,3.825,3.875,3.75,3.8,1.0495e+07,00700.HK,3.9881e+07
2004-07-22,3.7,3.75,3.5,3.55,1.3831e+07,00700.HK,4.910005e+07
2004-07-23,3.55,3.575,3.5,3.525,4.668e+06,00700.HK,1.64547e+07
2004-07-26,3.4,3.5,3.375,3.375,7.439e+06,00700.HK,2.5106625e+07
2004-07-27,3.4,3.725,3.375,3.725,1.7906e+07,00700.HK,6.669985e+07
2004-07-28,3.725,3.75,3.625,3.675,4.205e+06,00700.HK,1.5453375e+07
2004-07-29,3.625,3.775,3.6,3.75,3.498e+06,00700.HK,1.31175e+07
2004-07-30,3.8,3.875,3.725,3.85,1.0065e+07,00700.HK,3.875025e+07
2004-08-02,3.85,3.875,3.7,3.875,5.352e+06,00700.HK,2.0739e+07
2004-08-03,3.9,3.975,3.875,3.975,1.2739e+07,00700.HK,5.0637525e+07
2004-08-04,3.925,3.925,3.825,3.875,2.849e+06,00700.HK,1.1039875e+07
2004-08-05,3.9,4.025,3.9,3.975,6.785e+06,00700.HK,2.6970375e+07
2004-08-06,3.925,4.05,3.925,4,4.334e+06,00700.HK,1.7336e+07
2004-08-09,4,4,3.95,4,4.497e+06,00700.HK,1.7988e+07
2004-08-10,4,4.05,3.875,3.875,4.209e+06,00700.HK,1.6309875e+07
2004-08-11,3.925,3.925,3.675,3.7,6.565e+06,00700.HK,2.42905e+07
2004-08-12,3.675,3.75,3.625,3.75,5.173e+06,00700.HK,1.939875e+07
2004-08-13,3.675,3.75,3.675,3.75,977000,00700.HK,3.66375e+06
2004-08-16,3.675,3.775,3.6,3.75,2.665e+06,00700.HK,9.99375e+06
2004-08-17,3.75,3.75,3.675,3.7,893500,00700.HK,3.30595e+06
2004-08-18,3.75,3.75,3.7,3.725,676000,00700.HK,2.5181e+06
2004-08-19,3.725,3.8,3.675,3.7,3.979e+06,00700.HK,1.47223e+07
2004-08-20,3.725,3.725,3.675,3.725,3.456e+06,00700.HK,1.28736e+07
2004-08-23,3.725,3.75,3.575,3.65,2.15e+06,00700.HK,7.8475e+06
2004-08-24,3.65,3.65,3.55,3.6,3.268e+06,00700.HK,1.17648e+07
2004-08-25,3.625,3.625,3.475,3.5,4.818e+06,00700.HK,1.6863e+07
2004-08-26,3.55,3.575,3.375,3.4,8.416e+06,00700.HK,2.86144e+07
2004-08-27,3.45,3.525,3.425,3.5,9.896e+06,00700.HK,3.4636e+07
2004-08-30,3.5,3.55,3.475,3.5,2.126e+06,00700.HK,7.441e+06
2004-08-31,3.525,3.675,3.475,3.65,2.29e+06,00700.HK,8.3585e+06
2004-09-01,3.675,3.675,3.6,3.625,2.072e+06,00700.HK,7.511e+06
2004-09-02,3.65,3.65,3.6,3.625,3.049e+06,00700.HK,1.1052625e+07
2004-09-03,3.65,3.65,3.575,3.6,1.87e+06,00700.HK,6.732e+06
2004-09-06,3.6,3.675,3.575,3.65,2.437e+06,00700.HK,8.89505e+06
2004-09-07,3.675,3.775,3.675,3.775,8.06e+06,00700.HK,3.04265e+07
2004-09-08,3.75,3.75,3.675,3.725,1.711e+06,00700.HK,6.373475e+06
2004-09-09,3.675,3.7,3.65,3.65,692000,00700.HK,2.5258e+06
2004-09-10,3.65,3.7,3.625,3.7,622000,00700.HK,2.3014e+06
2004-09-13,3.625,3.625,3.45,3.475,7.42e+06,00700.HK,2.57845e+07
2004-09-14,3.5,3.65,3.5,3.6,3.611e+06,00700.HK,1.29996e+07
